"","Lfd. Nr.","Konzentrationslager und Außenkommandos","Konzentrationslager und Außenkommandos","Hauptlager der Außenkommandos"
"1292","","","26.2.1942 bis 22.6.1943",""
"1293","736","Kleefelde = Koniczynka/Danzig-Westpreußen,","Kleefelde = Koniczynka/Danzig-Westpreußen,","Stutthof"
"1294","","","ab 1.1.1945",""
"1295","737","Kleinbodungen, Kreis Nordhausen (früher: Kreis Grafschaft Hohenstein)","Kleinbodungen, Kreis Nordhausen (früher: Kreis Grafschaft Hohenstein)","Buchenwald, ab 1.11.1944 Dora-Mittelbau"
"1296","738","Klein Machnow,","Klein Machnow,","Sachsenhausen"
"1297","","","1.12.1942 bis 30.4.1945 (Männerlager)",""
"1298","","","1.3.1944 bis 30.4.1945 (Frauenlager)",""
"1299","739","Kleinmünchen-Ebelsberg, siehe Linz III","Kleinmünchen-Ebelsberg, siehe Linz III",""
"1300","740","Klein Radisch/Niederschlesien, Kdo. v. Niesky","Klein Radisch/Niederschlesien, Kdo. v. Niesky","Groß Rosen"
"1301","741","Klooga/Estland,","Klooga/Estland,","Vaivara"
"1302","","","15.9.1943 bis 19.9.1944",""
"1303","742","Klützow bei Stargard,","Klützow bei Stargard,","Ravensbrück"
"1304","","","ab 18.3.1943",""
"1305","743","Knellendorf, Kreis Kronach,","Knellendorf, Kreis Kronach,","Flossenbürg"
"1306","","","11.12.1944 bis 12.4.1945",""
"1307","744","Kobier = Kobior, Kreis Pleß,","Kobier = Kobior, Kreis Pleß,","Auschwitz"
"1308","","","1.10.1942 bis 30.9.1943",""
"1309","745","Koblenz, siehe Dernau","Koblenz, siehe Dernau",""
"1310","746","Kochem, siehe Cochem-Bruttig","Kochem, siehe Cochem-Bruttig",""
"1311","747","Kochendorf, Kreis Heilbronn,","Kochendorf, Kreis Heilbronn,","Natzweiler"
"1312","","","3.9.1944 bis 9.4.1945",""
"1313","747a","Kohling (Männer)/Danzig-Westpreußen,","Kohling (Männer)/Danzig-Westpreußen,","Stutthof"
"1314","","","28.9.1939 bis 18.11.1939",""
"1315","748","Kokoschken-Kokoszki, siehe Burggraben","Kokoschken-Kokoszki, siehe Burggraben",""
"1316","749","Kolkau, Kreis Lauenburg/Pommern,","Kolkau, Kreis Lauenburg/Pommern,","Stutthof"
"1317","","","1.2.1945 bis 4.5.1945",""
"1318","750","Köln-Deutz, Westwaggon,","Köln-Deutz, Westwaggon,","Buchenwald"
"1319","","","bis 15.3.1945",""
"1320","751","Köln-Niehl, Fordwerke,","Köln-Niehl, Fordwerke,","Buchenwald"
"1321","","","ab 10.8.1944",""
"1322","752","Köln-Stadt,","Köln-Stadt,","Buchenwald"
"1323","","","15.8.1944 bis 25.10.1944",""
"1324","753","Kolpin, Kreis Fürstenwalde,","Kolpin, Kreis Fürstenwalde,","Sachsenhausen"
"1325","","","bis 15.2.1945",""
"1326","754","Koniczynka, siehe Kleefelde","Koniczynka, siehe Kleefelde",""
"1327","755","Königsberg/Ostpreußen,","Königsberg/Ostpreußen,","Stutthof"
"1328","","","19.8.1944 bis 15.1.1945",""
"1329","756","Königsberg/Neumark","Königsberg/Neumark","Ravensbrück"
"1330","757","Königssee, Kreis Berchtesgaden,","Königssee, Kreis Berchtesgaden,","Dachau"
"1331","","","bis 19.9.1944",""
"1332","758","Königstein/Elbe, Kreis Pirna/Sachsen,","Königstein/Elbe, Kreis Pirna/Sachsen,","Flossenbürg"
"1333","","","bis 17.3.1945",""
"1334","759","Königs Wusterhausen,","Königs Wusterhausen,","Sachsenhausen"
"1335","","","9.2.1943 bis 26.4.1945",""
"1336","760","Königszelt","Königszelt","Groß Rosen"
"1337","761","Konstantynow, siehe Jugendschutzlager Litzmannstadt, Kdo. Tuchingen","Konstantynow, siehe Jugendschutzlager Litzmannstadt, Kdo. Tuchingen",""
"1338","762","Kopalnia Fürsten, siehe Fürstengrube","Kopalnia Fürsten, siehe Fürstengrube",""
"1339","763","Köpenick, siehe Berlin-Köpenick","Köpenick, siehe Berlin-Köpenick",""
"1340","764","Korben = Chorabie/Danzig-Westpreußen, Kdo. v. Thorn OT,","Korben = Chorabie/Danzig-Westpreußen, Kdo. v. Thorn OT,","Stutthof"
"1341","","","bis 18.1.1945",""
"1342","765","Koschedaren = Kaisiadorys/Litauen,","Koschedaren = Kaisiadorys/Litauen,","Kauen"
"1343","","","bis 31.7.1944",""
"1344","766","Kottern, Gemeinde Sankt Mang,","Kottern, Gemeinde Sankt Mang,","Dachau"
"1345","","","1.10.1943 bis 27.4.1945",""
"1346","767","Krakau-Plaszow,","Krakau-Plaszow,",""
"1347","","","11.1.1944 bis 15.1.1945",""
"1348","767a","Krakau-Plaszow (Außenkommando),","Krakau-Plaszow (Außenkommando),","Krakau-Plaszow"
"1349","","","bis 7.8.1944",""
"1350","768","Kraliky, siehe Grulich","Kraliky, siehe Grulich",""
"1351","769","Kranichfeld, Kreis Weimar,","Kranichfeld, Kreis Weimar,","Buchenwald"
"1352","","","24.5.1941 bis 31.12.1942",""
"1353","770","Kraslice, siehe Graslitz","Kraslice, siehe Graslitz",""
"1354","771","Kratzau I und II, Kreis Reichenberg = Chrastava/Tschech.,","Kratzau I und II, Kreis Reichenberg = Chrastava/Tschech.,","Groß Rosen"
"1355","","","bis 8.5.1945",""
"1356","772","Krenau = Chrzanow, Bez. Krakau, siehe Janinagrube","Krenau = Chrzanow, Bez. Krakau, siehe Janinagrube",""
"1357","773","Kretinga, siehe Krottingen","Kretinga, siehe Krottingen",""
"1358","774","Kretschamberg, siehe Kittlitztreben","Kretschamberg, siehe Kittlitztreben",""
"1359","775","Krivoklat, siehe Pürglitz","Krivoklat, siehe Pürglitz",""
"1360","776","Krobia, Chorabie-Krobia, siehe Korben","Krobia, Chorabie-Krobia, siehe Korben",""
"1361","777","Krondorf, Kreis Kaaden/Tschech.,","Krondorf, Kreis Kaaden/Tschech.,","Flossenbürg"
"1362","","","19.8.1942 bis 15.7.1944",""
"1363","778","Krottingen = Kretinga/Litauen","Krottingen = Kretinga/Litauen","Riga-Kaiserwald"
"1364","779","Krücklham, siehe Mittergars","Krücklham, siehe Mittergars",""
"1365","780","Krumau = Krzemieniewo, Kreis Neumark/ Westpreußen,","Krumau = Krzemieniewo, Kreis Neumark/ Westpreußen,","Stutthof"
"1366","","","15.9.1944 bis 18.1.1945",""
"1367","781","Krusevac/Serbien,","Krusevac/Serbien,",""
"1368","","","1.12.1941 bis 31.12.1943",""
"1369","782","Krzemieniewo, siehe Krumau","Krzemieniewo, siehe Krumau",""
"1370","783","Kschepenitz/Tschech., Kdo. v. Janowitz,","Kschepenitz/Tschech., Kdo. v. Janowitz,","Flossenbürg"
"1371","","","ab 18.3.1945",""
"1372","784","Ksiazeca bei Myslowitz, siehe Fürstengrube","Ksiazeca bei Myslowitz, siehe Fürstengrube",""
"1373","785","Kudowa, siehe Sackisch","Kudowa, siehe Sackisch",""
"1374","786","Kuhberg, siehe Ulm-Kuhberg","Kuhberg, siehe Ulm-Kuhberg",""
"1375","786a","Kuhlen (Männer), Gemeinde Rickling/ Schleswig-Holstein,","Kuhlen (Männer), Gemeinde Rickling/ Schleswig-Holstein,",""
"1376","","","1.7.1933 bis 30.11.1933",""
"1377","787","Kulmhof a. d. Neer = Chelmno/Warthegau,","Kulmhof a. d. Neer = Chelmno/Warthegau,",""
"1378","","","8.12.1941 bis 18.1.1945",""
"1379","788","Kunda/Estland,","Kunda/Estland,","Vaivara"
"1380","","","ab 15.9.1943",""
"1381","789","Kurben = Kurbe/Lettland","Kurben = Kurbe/Lettland","Riga-Kaiserwald"
"1382","790","Kuremaa/Estland,","Kuremaa/Estland,","Vaivara"
"1383","","","ab 15.9.1943",""
"1384","791","Kurzbach bei Oppeln/Oberschlesien,","Kurzbach bei Oppeln/Oberschlesien,","Groß Rosen"
"1385","","","bis 31.1.1945",""
"1386","792","Küstrin,","Küstrin,","Sachsenhausen"
"1387","","","16.5.1943 bis 30.4.1945",""
"1388","793","Kyffhäuser, siehe Kelbra","Kyffhäuser, siehe Kelbra",""
"1389","","L","L","L"
"1390","794","Laagberg, siehe Fallersleben","Laagberg, siehe Fallersleben",""
"1391","795","Labroque, siehe Schirmeck-Vorbruck","Labroque, siehe Schirmeck-Vorbruck",""
"1392","796","Ladelund bei Flensburg,","Ladelund bei Flensburg,","Neuengamme"
"1393","","","bis 16.12.1944",""
"1394","797","Lagedi/Estland,","Lagedi/Estland,","Vaivara"
"1395","","","29.7.1944 bis 19.9.1944",""
"1396","798","Lagiewniki Slaskie, siehe Hohenlinde","Lagiewniki Slaskie, siehe Hohenlinde",""
"1397","799","Lagischa = Lagisza Cementownia, Kreis Bedzin,","Lagischa = Lagisza Cementownia, Kreis Bedzin,","Auschwitz"
"1398","","","15.6.1943 bis 6.9.1944",""
"1399","800","Lambrecht, siehe St. Lambrecht","Lambrecht, siehe St. Lambrecht",""
"1400","801","Landeshut/Niederschlesien,","Landeshut/Niederschlesien,","Groß Rosen"
"1401","","","16.7.1944 bis 8.5.1945",""
"1402","802","Landsberg/Lech","Landsberg/Lech","Dachau"
"1403","803","Landsberg, siehe auch Kaufering","Landsberg, siehe auch Kaufering",""
"1404","804","Landshut/Bayern,","Landshut/Bayern,","Dachau"
"1405","","","bis 6.2.1945",""
"1406","805","Langlütjen, siehe Bremerhaven","Langlütjen, siehe Bremerhaven",""
"1407","806","Langenbielau, Kreis Reichenbach/ Niederschlesien,","Langenbielau, Kreis Reichenbach/ Niederschlesien,","Groß Rosen"
"1408","","","1.1.1944 bis 8.5.1945",""
"1409","807","Langendiebach, Kreis Hanau,","Langendiebach, Kreis Hanau,","Hinzert/"
"1410","","","1.1.1942 bis 28.3.1945","Buchenwald"
"1411","808","Langenhagen/Provinz Hannover,","Langenhagen/Provinz Hannover,","Neuengamme"
"1412","","","2.10.1944 bis 15.4.1945",""
"1413","809","Langenhorn, siehe Hamburg-Langenhorn","Langenhorn, siehe Hamburg-Langenhorn",""
"1414","810","Langensalza (früher: Kreis Langensalza/Prov. Sachsen),","Langensalza (früher: Kreis Langensalza/Prov. Sachsen),","Buchenwald"
"1415","","","bis 11.4.1945",""
"1416","811","Langenstein, siehe Halberstadt-Zwieberge, Maifisch","Langenstein, siehe Halberstadt-Zwieberge, Maifisch",""
"1417","812","Langfuhr, siehe Danzig-Langfuhr","Langfuhr, siehe Danzig-Langfuhr",""
"1418","813","Lannach, siehe Schloß Lannach","Lannach, siehe Schloß Lannach",""
"1419","814","Laoküla/Estland, siehe Lodensee","Laoküla/Estland, siehe Lodensee",""
"1420","815","Lärche bei Lehmwasser, Kreis Waldenburg/ Niederschlesien, Kdo. v. Wüstegiersdorf,","Lärche bei Lehmwasser, Kreis Waldenburg/ Niederschlesien, Kdo. v. Wüstegiersdorf,","Groß Rosen"
"1421","","","bis 8.5.1945",""
"1422","816","La Risiera/Triest, Italien,","La Risiera/Triest, Italien,",""
"1423","","","1.10.1943 bis 30.4.1945",""
"1424","817","Lathen,","Lathen,","Neusustrum"
"1425","","","4.4.1940 bis 12.4.1940",""
"1426","818","Lauenburg in Pommern,","Lauenburg in Pommern,","Buchenwald,"
"1427","","","ab 11.11.1941 (Männerlager)","ab 1.4.1942"
"1428","","","(Frauenlager)","Stutthof"
"1429","819","Lauingen II, Kreis Dillingen","Lauingen II, Kreis Dillingen","Dachau"
"1430","820","Laurahütte = Siemianowice Slaskie, Kreis Kattowitz/Oberschlesien,","Laurahütte = Siemianowice Slaskie, Kreis Kattowitz/Oberschlesien,","Auschwitz"
"1431","","","1.4.1944 bis 24.1.1945",""
"1432","821","Leau, siehe Plömnitz","Leau, siehe Plömnitz",""
"1433","822","Lechfeld, siehe Kaufering, Lager IV, Hurlach","Lechfeld, siehe Kaufering, Lager IV, Hurlach",""
"1434","823","Leeuwarden/Holland","Leeuwarden/Holland","Herzogenbusch"
"1435","824","Lehesten, siehe Saalfeld","Lehesten, siehe Saalfeld",""
"1436","825","Leibisch = Lubicz/Danzig-Westpreußen","Leibisch = Lubicz/Danzig-Westpreußen","Stutthof"
"1437","826","Leibnitz, siehe Graz","Leibnitz, siehe Graz",""
"1438","827","Leimbach, siehe Bad Salzungen","Leimbach, siehe Bad Salzungen",""
"1439","828","Leipzig-Schönefeld, Hasag,","Leipzig-Schönefeld, Hasag,","Ravensbrück,"
"1440","","","bis 19.4.1945","ab 1.9.1944"
"1441","","","","Buchenwald"
"1442","829","Leipzig, Firma Mansfeld","Leipzig, Firma Mansfeld","Buchenwald"
"1443","830","Leipzig-Schönau,","Leipzig-Schönau,","Buchenwald"
"1444","","","20.8.1944 bis 30.4.1945",""
"1445","831","Leipzig-Thekla,","Leipzig-Thekla,","Buchenwald"
"1446","","","ab 6.3.1943",""
"1447","832","Leitmeritz-Elsabe a. d. Elbe = Litomerice/ Tschech.,","Leitmeritz-Elsabe a. d. Elbe = Litomerice/ Tschech.,","Flossenbürg"
"1448","","","22.11.1944 bis 8.5.1945",""
"1449","833","Leitmeritz a. d. Elbe, Richard II = Litomerice/Tschech.,","Leitmeritz a. d. Elbe, Richard II = Litomerice/Tschech.,","Flossenbürg"
"1450","","","bis 8.5.1945",""
"1451","834","Leitmeritz a. d. Elbe = Litomerice/Tschech., SS-Kdo B 5,","Leitmeritz a. d. Elbe = Litomerice/Tschech., SS-Kdo B 5,","Flossenbürg"
"1452","","","27.3.1944 bis 8.5.1945",""
"1453","835","Lemberg/Galizien = Lwow, Deutsche Ausrüstungs GmbH.,","Lemberg/Galizien = Lwow, Deutsche Ausrüstungs GmbH.,","Lublin"
"1454","","","13.1.1944 bis 30.6.1944",""
"1455","836","Lendzin, siehe Günthergrube","Lendzin, siehe Günthergrube",""
"1456","837","Lengenfeld,","Lengenfeld,","Flossenbürg"
"1457","","","11.10.1944 bis 14.4.1945",""
"1458","838","Lengerich, Kreis Tecklenburg,","Lengerich, Kreis Tecklenburg,","Neuengamme"
"1459","","","bis 1.4.1945",""
"1460","839","Lenta/Lettland, siehe Riga Lenta","Lenta/Lettland, siehe Riga Lenta",""
"1461","840","Lenzing, Gemeinde Oberachmann/Oberösterreich,","Lenzing, Gemeinde Oberachmann/Oberösterreich,","Mauthausen"
"1462","","","3.11.1944 bis 5.5.1945",""
"1463","841","Leonberg,","Leonberg,","Natzweiler"
"1464","","","bis 30.3.1945",""
"1465","842","Leopoldshall, Kreis Bernburg,","Leopoldshall, Kreis Bernburg,","Buchenwald"
"1466","","","ab 28.12.1944",""
"1467","843","Lerbeck/Westfalen,","Lerbeck/Westfalen,","Neuengamme"
"1468","","","1.10.1944 bis 1.4.1945",""
"1469","843a","Leske (Männer)/Danzig-Westpreußen,","Leske (Männer)/Danzig-Westpreußen,","Stutthof"
"1470","","","ab 30.9.1939",""
"1471","844","Libau = Liepaja/Kurland,","Libau = Liepaja/Kurland,",""
"1472","","","5.7.1941 bis 16.12.1941 (Männerlager)",""
"1473","","","(Frauenlager)",""
"1474","845","Libiaz Maly, siehe Janinagrube","Libiaz Maly, siehe Janinagrube",""
"1475","846","Lichtenburg/Sachsen,","Lichtenburg/Sachsen,",""
"1476","","","28.3.1933 bis 9.8.1937 (Männer)",""
"1477","","","15.12.1937 bis 15.5.1939 (Frauen)",""
"1478","847","Lichtenburg/Sachsen,","Lichtenburg/Sachsen,","Buchenwald"
"1479","","","11.9.1940 bis 27.9.1940",""
"1480","848","Lichtenrade, siehe Berlin-Lichtenrade","Lichtenrade, siehe Berlin-Lichtenrade",""
"1481","849","Lichterfelde, siehe Berlin-Lichterfelde","Lichterfelde, siehe Berlin-Lichterfelde",""
"1482","850","Lichtewerden = Lichtvard/Tschech.,","Lichtewerden = Lichtvard/Tschech.,","Auschwitz"
"1483","","","11.11.1944 bis 6.5.1945",""
"1484","851","Liebau/Niederschlesien,","Liebau/Niederschlesien,","Groß Rosen"
"1485","","","bis 8.5.1945",""
"1486","852","Lieberose, Kreis Beeskow (früher: Kreis Lübben),","Lieberose, Kreis Beeskow (früher: Kreis Lübben),","Sachsenhausen"
"1487","","","1.12.1943 bis 2.2.1945",""
"1488","853","Liebhof, Kreis Viechtach,","Liebhof, Kreis Viechtach,","Dachau"
"1489","","","ab 3.6.1943",""
"1490","854","Liepaja, siehe Libau","Liepaja, siehe Libau",""
"1491","855","Limmer, siehe Hannover-Limmer","Limmer, siehe Hannover-Limmer",""
"1492","856","Lind, siehe Schloß Lind","Lind, siehe Schloß Lind",""
"1493","857","Lindau/Bodensee, Kdo. v. Passau","Lindau/Bodensee, Kdo. v. Passau","Mauthausen"
"1494","858","Linden, siehe Hannover-Linden","Linden, siehe Hannover-Linden",""
"1495","859","Lindloh,","Lindloh,","Neusustrum"
"1496","","","19.4.1940 bis 8.5.1940",""
"1497","860","Lingen,","Lingen,","Neusustrum"
"1498","","","9.7.1940 bis 17.7.1940",""
"1499","861","Linz/Oberösterreich, Aufräumungskommando","Linz/Oberösterreich, Aufräumungskommando","Mauthausen"
"1500","862","Linz I/Oberösterreich,","Linz I/Oberösterreich,","Mauthausen"
"1501","","","11.1.1943 bis 3.8.1944",""
"1502","863","Linz II/Oberösterreich, Bockgasse,","Linz II/Oberösterreich, Bockgasse,","Mauthausen"
"1503","","","27.2.1944 bis 5.5.1945",""
"1504","864","Linz III/Oberösterreich, Kleinmünchen-Ebelsberg,","Linz III/Oberösterreich, Kleinmünchen-Ebelsberg,","Mauthausen"
"1505","","","22.5.1944 bis 5.5.1945",""
"1506","865","Lippstadt, Lippstädter Eisen- und Metallwerke,","Lippstadt, Lippstädter Eisen- und Metallwerke,","Buchenwald"
"1507","","","31.7.1944 bis 2.4.1945",""
"1508","866","Lippstadt, Westfälische Metall-Industrie AG,","Lippstadt, Westfälische Metall-Industrie AG,","Buchenwald"
"1509","","","20.11.1944 bis 2.4.1945",""
"1510","867","Lissa, siehe Breslau-Deutsch Lissa","Lissa, siehe Breslau-Deutsch Lissa",""
"1511","868","Litomerice, siehe Leitmeritz","Litomerice, siehe Leitmeritz",""
"1512","869","Litzmannstadt, siehe Jugendschutzlager","Litzmannstadt, siehe Jugendschutzlager",""
"1513","870","Lobositz = Lovosice, Kreis Leitmeritz = Litomerice/Tschech.,","Lobositz = Lovosice, Kreis Leitmeritz = Litomerice/Tschech.,","Flossenbürg"
"1514","","","ab 20.5.1944",""
"1515","871","Lochau, Bezirk Bregenz,","Lochau, Bezirk Bregenz,","Dachau"
"1516","","","ab 7.4.1945",""
"1517","872","Lochhausen, siehe München-Allach, BMW","Lochhausen, siehe München-Allach, BMW",""
"1518","873","Lodensee = Laoküla/Estland Unterkdo. v. Klooga,","Lodensee = Laoküla/Estland Unterkdo. v. Klooga,","Vaivara"
"1519","","","bis 19.9.1944",""
"1520","874","Lodz, siehe Jugendschutzlager Litzmannstadt","Lodz, siehe Jugendschutzlager Litzmannstadt",""
"1521","875","Lohausen, siehe Düsseldorf-Lohausen","Lohausen, siehe Düsseldorf-Lohausen",""
"1522","876","Lohof, siehe Unterschleißheim","Lohof, siehe Unterschleißheim",""
"1523","877","Loibl-Paß, Kreis Klagenfurt,","Loibl-Paß, Kreis Klagenfurt,","Mauthausen"
"1524","","","2.6.1943 bis 7.5.1945",""
"1525","878","Longwy-Thil/Frankreich,","Longwy-Thil/Frankreich,","Natzweiler"
"1526","","","19.6.1944 bis 4.9.1944",""
"1527","879","Lörenskog, siehe Bredtvedt","Lörenskog, siehe Bredtvedt",""
"1528","880","Lovosice, siehe Lobositz","Lovosice, siehe Lobositz",""
"1529","881","Lowitz/Pommern","Lowitz/Pommern","Stutthof"
"1530","882","Lübben, Kreis Lübben/Spreewald,","Lübben, Kreis Lübben/Spreewald,","Sachsenhausen"
"1531","","","1.7.1944 bis 23.4.1945",""
"1532","883","Lübberstedt, Kreis Wesermünde,","Lübberstedt, Kreis Wesermünde,","Neuengamme"
"1533","","","bis 30.4.1945",""
"1534","884","Lubicz, siehe Leibisch","Lubicz, siehe Leibisch",""
"1535","885","Lublin/Polen, Gartenstraße 12,","Lublin/Polen, Gartenstraße 12,",""
"1536","","","1.10.1941 bis 24.7.1944 (Männerlager)",""
"1537","","","1.10.1942 bis 24.7.1944 (Frauenlager)",""
"1538","886","Lublin/Polen, Alter Flughafen,","Lublin/Polen, Alter Flughafen,",""
"1539","","","22.10.1943 bis 24.7.1944",""
"1540","887","Lublin/Polen, Deutsche Ausrüstungswerke,","Lublin/Polen, Deutsche Ausrüstungswerke,",""
"1541","","","22.10.1943 bis 24.7.1944",""
"1542","888","Ludwigsdorf, Kreis Glatz/Schlesien, Kdo. v. Wüstegiersdorf,","Ludwigsdorf, Kreis Glatz/Schlesien, Kdo. v. Wüstegiersdorf,","Groß Rosen"
"1543","","","bis 8.5.1945",""
"1544","889","Lukow, siehe Charlottengrube","Lukow, siehe Charlottengrube",""
"1545","890","Lulkau = Lulkowo/Danzig-Westpreußen,","Lulkau = Lulkowo/Danzig-Westpreußen,","Stutthof"
"1546","","","ab 1.1.1945",""
"1547","891","Lulkowo, siehe Lulkau","Lulkowo, siehe Lulkau",""
"1548","892","Lungitz (Gusen III), Kdo. v. Gusen,","Lungitz (Gusen III), Kdo. v. Gusen,","Mauthausen"
"1549","","","bis 5.5.1945",""
"1550","893","Lütjenburg, Kreis Plön/Schleswig-Holstein","Lütjenburg, Kreis Plön/Schleswig-Holstein","Neuengamme"
"1551","","","bis 30.3.1945",""
"1552","894","Lützelhöhe, Amtshauptmannschaft Flöha, Innenkdo. des KL Sachsenburg,","Lützelhöhe, Amtshauptmannschaft Flöha, Innenkdo. des KL Sachsenburg,","Sachsenburg"
"1553","","","19.4.1934 bis 16.8.1934",""
"1554","895","Lützkendorf, Gemeinde Krumpa, Kreis Querfurt,","Lützkendorf, Gemeinde Krumpa, Kreis Querfurt,","Buchenwald"
"1555","","","14.7.1944 bis 21.1.1945",""
"1556","895a","Luxemburg (Frauen)","Luxemburg (Frauen)","Ravensbrück"
"1557","896","Lwow, siehe Lemberg","Lwow, siehe Lemberg",""
"1558","","M","",""
"1559","897","Magdeburg,","Magdeburg,","Buchenwald"
"1560","","","ab 19.3.1945",""
"1561","898","Magdeburg, Brabag,","Magdeburg, Brabag,","Buchenwald"
"1562","","","bis 16.2.1945",""
"1563","899","Magdeburg, Ferngasversorgung,","Magdeburg, Ferngasversorgung,","Buchenwald"
"1564","","","31.5.1943 bis 17.10.1943",""
"1565","900","Magdeburg-Polte,","Magdeburg-Polte,","Ravensbrück, ab 1.9.1944 Buchenwald"
"1566","","","ab 3.11.1944 (Männerlager)",""
"1567","","","bis 13.4.1945 (Frauenlager)",""
"1568","901","Mainz-Finthen, siehe Finthen","Mainz-Finthen, siehe Finthen",""
"1569","902","Mainz-Weisenau,","Mainz-Weisenau,","Hinzert"
"1570","","","ab 1.1.1942",""
"1571","903","Majdanek, siehe Lublin","Majdanek, siehe Lublin",""
"1572","904","Malchow bei Neu-Strelitz, Kreis Waren,","Malchow bei Neu-Strelitz, Kreis Waren,","Ravensbrück"
"1573","","","1.1.1943 bis 1.5.1945",""
"1574","905","Malines, siehe Mechelen/Belgien","Malines, siehe Mechelen/Belgien",""
"1575","906","Malken = Malki, Kreis Brodnica,","Malken = Malki, Kreis Brodnica,","Stutthof"
"1576","","","1.4.1944 bis 28.1.1945",""
"1577","907","Maly-Trostinec bei Minsk,","Maly-Trostinec bei Minsk,",""
"1578","","","bis 30.6.1944",""
"1579","908","Mannheim-Sandhofen (Waldhof),","Mannheim-Sandhofen (Waldhof),","Natzweiler"
"1580","","","27.9.1944 bis 31.3.1945",""
"1581","909","Mannheim-Sandhofen","Mannheim-Sandhofen","Hinzert"
"1582","910","Mansfeld, siehe Leipzig, Firma Mansfeld","Mansfeld, siehe Leipzig, Firma Mansfeld",""
"1583","911","Mariahütte, nur Innenkdo. v. Hinzert","Mariahütte, nur Innenkdo. v. Hinzert",""
"1584","912","Marienfelde, siehe Berlin-Marienfelde","Marienfelde, siehe Berlin-Marienfelde",""
"1585","913","Marienwerder/Ostpreußen,","Marienwerder/Ostpreußen,","Stutthof"
"1586","","","2.10.1941 bis 31.10.1941",""
"1587","914","Markirch = Sainte-Marie-aux-Mines/Elsaß","Markirch = Sainte-Marie-aux-Mines/Elsaß","Natzweiler"
"1588","915","Markkleeberg, Kreis Leipzig,","Markkleeberg, Kreis Leipzig,","Buchenwald"
"1589","","","31.8.1944 bis 15.4.1945",""
"1590","916","Markt Schwaben, Kreis Ebersberg,","Markt Schwaben, Kreis Ebersberg,","Dachau"
"1591","","","bis 23.4.1945",""
"1592","917","Marktstädt, siehe Fünfteichen","Marktstädt, siehe Fünfteichen",""
"1593","918","Märzbachtal, Kreis Waldenburg/Niederschlesien, Kdo. v. Wüstegiersdorf,","Märzbachtal, Kreis Waldenburg/Niederschlesien, Kdo. v. Wüstegiersdorf,",""
"1594","","","bis 8.5.1945","Groß Rosen"
"1595","919","Märzdorf, siehe Merzdorf","Märzdorf, siehe Merzdorf",""
"1596","920","Matzkau, Freie Stadt Danzig,","Matzkau, Freie Stadt Danzig,","Stutthof"
"1597","","","28.11.1939 bis 2.11.1942",""
"1598","921","Mauthausen, Bezirk Perg/Oberösterreich,","Mauthausen, Bezirk Perg/Oberösterreich,",""
"1599","","","8.8.1938 bis 5.5.1945",""
"1600","922","Mechelen = Malines/Belgien,","Mechelen = Malines/Belgien,",""
"1601","","","17.6.1942 bis 4.9.1944",""
"1602","923","Mehltheuer, Kreis Plauen/Sachsen,","Mehltheuer, Kreis Plauen/Sachsen,","Flossenbürg"
"1603","","","2.12.1944 bis 16.4.1945",""
"1604","924","Meißen/Sachsen,","Meißen/Sachsen,","Flossenbürg"
"1605","","","ab 1.1.1945",""
"1606","925","Melk/Niederösterreich,","Melk/Niederösterreich,","Mauthausen"
"1607","","","20.4.1944 bis 19.4.1945",""
"1608","926","Meppen,","Meppen,","Neusustrum"
"1609","","","2.4.1940 bis 7.7.1940",""
"1610","927","Meppen-Versen,","Meppen-Versen,","Neuengamme"
"1611","","","bis 1.4.1945",""
"1612","928","Merseburg, siehe Niedersachswerfen","Merseburg, siehe Niedersachswerfen",""
"1613","929","Merzdorf (Riesengebirge), Niederschlesien,","Merzdorf (Riesengebirge), Niederschlesien,","Groß Rosen"
"1614","","","bis 8.5.1945",""
"1615","930","Merzen = Mierzynek Kreis Lipa/Westpreußen,","Merzen = Mierzynek Kreis Lipa/Westpreußen,","Stutthof"
"1616","","","bis 14.1.1945",""
"1617","931","Merzhausen","Merzhausen","Hinzert"
"1618","932","Mettenheim, siehe Mühldorf","Mettenheim, siehe Mühldorf",""
"1619","933","Metz/Frankreich, mit Fort Göben, Kasematte I,","Metz/Frankreich, mit Fort Göben, Kasematte I,","Natzweiler"
"1620","","","ab 6.8.1943",""
"1621","934","Metz, SS-Sonderlager,","Metz, SS-Sonderlager,",""
"1622","","","1.11.1943 bis 17.8.1944",""
"1623","935","Meuselwitz, Kreis Altenburg/Thüringen,","Meuselwitz, Kreis Altenburg/Thüringen,","Buchenwald"
"1624","","","5.10.1944 bis 12.4.1945",""
"1625","936","Mezimesti, siehe Halbstadt","Mezimesti, siehe Halbstadt",""
"1626","937","Michelbach,","Michelbach,","Hinzert"
"1627","","","ab 12.8.1940",""
"1628","938","Mielec bei Tarnow/Polen","Mielec bei Tarnow/Polen","Krakau-Plaszow"
"1629","","","12.6.1944 bis 22.7.1944",""
"1630","939","Mielenz/Danzig-Westpreußen","Mielenz/Danzig-Westpreußen","Stutthof"
"1631","940","Mierzynek, siehe Merzen","Mierzynek, siehe Merzen",""
"1632","941","Mildenberg, Brandenburg","Mildenberg, Brandenburg","Ravensbrück"
"1633","942","Misburg, siehe Hannover-Misburg","Misburg, siehe Hannover-Misburg",""
"1634","943","""Missler"", siehe Bremen-Findorf","""Missler"", siehe Bremen-Findorf",""
